,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_564.mid",15.0, 12.0, 4.0, 1.0, 46.0, 0.02, 0.16, 0.82, 2.0, 3.0, 75.0, 5.9, 79.0, 7.0, 0.32, 0.36, 0.375, 0.3333, 1.0, 1.0, 6.842, 2.727, 3.104, -1.201, -1.21, 0.8313, 31.07, 5.963, 5.663, 0.0, 70.0, 10.0, 79.0, 7.0, 1.0, 3.449, 3.0, 1.0, 0.3673, 0.5, 0.3469, 0.1837, 0.3673, 0.551, 0.1429, 0.04082, 0.0, 0.02041, 0.0, 0.0, 0.0, 0.06122, 1.333, 0.0, 0.55, 2.0, 8.4, 5.133, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 10.65, 10.65, 0.0, 2.0, 2.0, 1.0, 0.96, 1.0, 0.04, 0.0, 0.0, 0.0, 0.125, 0.5, 0.14, 0.125, 0.96, 1.0, 0.0, 0.07423, 0.6062, 28.72, 10.0, 9.0, 9.274, 0.07333, 0.07917, 0.01788, 0.2653, 0.2653, 0.2653, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.0, 0.0, 0.0, 0.0, 33.0, 33.0, 66.0, 107.0, 1.621, 0.03153, 0.03026, 1.042, 0.06179, 0.009176, 2.121, 0.1212, 25.0, 25.25, 9.417E-13, 11.16, 4.481, 0.5384, 0.2193, 0.2193, 0.1952, 0.1952, 0.1089, 0.9604, 0.164, 0.1717, 0.0, 2.0, 14.0, 8.0, 43.0, 71.0, 1.651, 0.1304, 0.1087, 1.2, 0.2391, 0.02032, 0.5, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_565.mid",19.0, 12.0, 4.0, 1.0, 20.0, 0.0, 0.32, 0.68, 2.0, 4.0, 76.0, 6.22, 79.0, 7.0, 0.16, 0.22, 0.75, 0.5455, 7.0, 1.0, 5.354, 3.376, 3.679, -1.087, -0.6931, -0.2772, 5.633, 5.792, 5.069, 0.0, 81.0, 9.0, 79.0, 7.0, 1.0, 3.592, 4.0, 1.0, 0.2245, 0.9091, 0.3673, 0.1837, 0.2245, 0.4286, 0.1429, 0.08163, 0.0, 0.02041, 0.04082, 0.0, 0.0, 0.102, 6.0, 0.0, 0.45, 1.905, 7.952, 3.48, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 11.44, 11.44, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.25, 0.1275, 0.125, 0.98, 1.0, 0.0, 0.01768, 0.4243, 56.39, 16.67, 9.0, 20.6, 0.06883, 0.075, 0.02045, 0.3174, 0.3174, 0.3174, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.1875, 0.0, 0.0, 0.0, 0.0, 28.0, 37.0, 56.0, 61.0, 1.089, 0.02323, 0.02078, 1.118, 0.04401, 0.006119, 9.486, 0.1351, 25.0, 25.25, 9.062E-13, 10.39, 4.814, 2.845, 0.204, 0.204, 0.1113, 0.1113, 0.1089, 0.6535, 0.1418, 0.08711, 0.0, 0.0, 16.0, 8.0, 71.0, 106.0, 1.493, 0.08943, 0.07317, 1.222, 0.1626, 0.01569, 0.875, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_566.mid",10.0, 9.0, 4.0, 2.0, 12.0, 0.0, 0.3, 0.7, 3.0, 2.0, 73.0, 5.16, 78.0, 6.0, 0.24, 0.28, 0.9167, 0.7857, 5.0, 5.0, 3.465, 3.437, 2.08, 0.4848, -0.7333, -0.8654, 5.679, 5.266, 6.496, 0.0, 78.0, 6.0, 77.0, 5.0, 2.0, 1.653, 3.0, 1.0, 0.3469, 0.8235, 0.2857, 0.2245, 0.2857, 0.6327, 0.04082, 0.08163, 0.0, 0.02041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3947, 1.9, 4.0, 3.553, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.765, 1.765, 0.3632, 5.0, 5.0, 2.0, 0.66, 0.66, 0.34, 0.02, 0.0, 0.18, 0.25, 2.0, 0.495, 0.25, 0.66, 0.2424, 2.0, 0.3928, 1.871, 9.74, 2.0, 1.0, 2.517, 0.07167, 0.08333, 0.03371, 0.05882, 0.05882, 0.05882, 0.6667, 0.6667, 0.4167, 0.4167, 0.3333, 0.3333, 0.1667, 0.1667, 0.0, 8.0, 8.0, 8.0, 120.0, 40.0, 3.0, 0.1705, 0.1382, 1.233, 0.3088, 0.02766, 0.0, 0.375, 148.0, 148.0, 3.32E-11, 11.49, 4.353, 1.243, 0.2308, 0.2308, 0.1632, 0.1632, 0.1351, 0.8108, 0.2162, 0.1392, 0.0, 6.0, 9.0, 9.0, 148.0, 50.0, 2.96, 0.1574, 0.1277, 1.233, 0.2851, 0.02605, 0.0, 0.2222
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_567.mid",13.0, 9.0, 4.0, 1.0, 17.0, 0.0, 0.14, 0.86, 3.0, 3.0, 76.0, 5.78, 78.0, 6.0, 0.24, 0.26, 0.6667, 0.6923, 5.0, 2.0, 3.981, 3.112, 2.197, -1.432, -0.2121, -0.1366, 6.071, 5.386, 6.187, 0.0, 77.0, 5.0, 73.0, 1.0, 2.0, 1.633, 3.0, 1.0, 0.3878, 0.7368, 0.3061, 0.2245, 0.2857, 0.6735, 0.04082, 0.02041, 0.0, 0.02041, 0.0, 0.02041, 0.0, 0.0, 0.0, 0.0, 0.3947, 2.111, 4.167, 3.944, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.948, 1.948, 1.082, 5.0, 4.0, 2.0, 0.7, 0.7, 0.3, 0.02, 0.0, 0.18, 0.25, 2.0, 0.45, 0.25, 0.7, 0.2571, 2.0, 0.3536, 1.697, 12.58, 2.0, 1.0, 1.958, 0.07333, 0.08333, 0.02736, 0.03896, 0.03896, 0.03896, 0.3333, 0.3333, 0.3333, 0.3333, 0.3333, 0.3333, 0.0, 0.0, 0.0, 8.0, 8.0, 8.0, 120.0, 40.0, 3.0, 0.1509, 0.1293, 1.167, 0.2802, 0.02739, 0.0, 0.375, 148.0, 148.0, 3.172E-11, 10.41, 4.805, 2.946, 0.2032, 0.2032, 0.1326, 0.1326, 0.1351, 0.8108, 0.2, 0.1258, 0.0, 8.0, 9.0, 9.0, 148.0, 50.0, 2.96, 0.1357, 0.1163, 1.167, 0.2519, 0.02573, 0.0, 0.2222
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_568.mid",16.0, 9.0, 3.0, 1.0, 22.0, 0.0, 0.04, 0.96, 6.0, 2.0, 82.0, 5.46, 83.0, 4.0, 0.16, 0.24, 1.0, 0.75, 5.0, 7.0, 5.302, 3.61, 1.98, -0.1471, 1.213, 0.2122, 6.252, 5.138, 5.899, 0.0, 88.0, 4.0, 86.0, 2.0, 2.0, 5.02, 4.0, 10.0, 0.3878, 0.4211, 0.4898, 0.0, 0.08163, 0.4694, 0.1633, 0.02041, 0.0, 0.1429, 0.0, 0.0, 0.1633, 0.04082, 7.0, 0.0, 0.7143, 2.882, 14.06, 5.438, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 3.922, 3.922, 0.002949, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.01961, 0.01961, 0.01961, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 159.0, 120.0, 1.325, 0.109, 0.1066, 1.022, 0.2156, 0.02426, 0.0, 0.2, 66.0, 66.0, 2.545E-12, 11.59, 4.314, 0.1176, 0.2243, 0.2243, 0.03247, 0.03247, 0.2273, 0.2273, 0.2273, 1.121E-16, 0.0, 5.0, 5.0, 5.0, 130.0, 88.0, 1.477, 0.208, 0.2035, 1.022, 0.4115, 0.03481, 0.0, 0.4
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_569.mid",14.0, 8.0, 4.0, 1.0, 21.0, 0.0, 0.02, 0.98, 6.0, 3.0, 86.0, 5.04, 91.0, 7.0, 0.2, 0.28, 0.8, 0.6429, 5.0, 5.0, 5.176, 3.01, 3.421, -0.4869, 0.03987, 1.193, 6.619, 5.509, 7.164, 0.0, 88.0, 4.0, 91.0, 7.0, 2.0, 4.429, 4.0, 1.0, 0.449, 0.3636, 0.4286, 0.0, 0.08163, 0.5306, 0.1837, 0.02041, 0.0, 0.102, 0.0, 0.0, 0.1224, 0.04082, 8.0, 0.0, 0.7143, 2.882, 12.65, 5.548, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 3.846, 3.846, 0.1369, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.03846, 0.03846, 0.03846, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 159.0, 120.0, 1.325, 0.1103, 0.1078, 1.023, 0.2181, 0.02426, 0.0, 0.2, 66.0, 66.0, 2.644E-12, 11.82, 4.231, 0.3848, 0.229, 0.229, 0.04544, 0.04544, 0.2273, 0.2273, 0.2273, 1.121E-16, 0.0, 5.0, 5.0, 5.0, 130.0, 88.0, 1.477, 0.2091, 0.2045, 1.022, 0.4136, 0.03482, 0.0, 0.4
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_570.mid",13.0, 6.0, 2.0, 2.0, 36.0, 0.36, 0.48, 0.16, 3.0, 1.0, 59.0, 5.48, 69.0, 2.0, 0.2, 0.26, 0.5, 1.0, 5.0, 7.0, 13.37, 3.265, 1.604, -1.463, -0.4777, 1.497, 4.953, 4.992, 5.468, 0.0, 69.0, 9.0, 69.0, 9.0, 2.0, 13.47, 5.0, 2.0, 0.1633, 0.75, 0.4082, 0.1224, 0.02041, 0.1837, 0.1633, 0.04082, 0.0, 0.0, 0.0, 0.102, 0.02041, 0.3673, 0.6, 0.02, 0.4651, 1.344, 20.5, 4.633, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.481, 1.481, NaN, 6.0, 6.0, 3.0, 0.46, 0.82, 0.54, 0.04, 0.0, 0.02, 0.125, 2.0, 0.4725, 0.5, 0.36, 0.8333, 2.0, 0.4198, -0.1965, 11.81, 1.389, 1.0, 0.8376, 0.0, 0.0, 0.0, 0.3, 0.3, 0.3, 8.0, 8.0, 0.5956, 0.5956, 0.125, 0.125, 1.908, 1.908, 0.0, 5.0, 10.0, 10.0, 120.0, 60.0, 2.0, 0.1511, 0.1244, 1.214, 0.2756, 0.02511, 0.0, 0.3, 150.0, 150.0, 0.0, 13.5, 3.704, 2.231, 0.2073, 0.2073, 0.1566, 0.1566, 0.05, 0.8, 0.189, 0.1679, 0.3, 1.0, 13.0, 13.0, 150.0, 75.0, 2.0, 0.1185, 0.09756, 1.214, 0.216, 0.02178, 0.0, 0.3077
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_571.mid",14.0, 7.0, 2.0, 2.0, 36.0, 0.36, 0.5, 0.14, 3.0, 2.0, 59.0, 5.56, 69.0, 2.0, 0.18, 0.26, 0.5556, 0.9231, 5.0, 7.0, 13.24, 3.176, 1.626, -1.513, -0.4156, 1.181, 4.963, 5.051, 5.537, 0.0, 67.0, 7.0, 69.0, 9.0, 2.0, 13.35, 4.0, 2.0, 0.1837, 0.7778, 0.3878, 0.1429, 0.02041, 0.2041, 0.1224, 0.04082, 0.0, 0.0, 0.0, 0.102, 0.02041, 0.3673, 1.0, 0.02, 0.4762, 1.355, 20.94, 4.655, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.465, 1.465, 1.157, 6.0, 6.0, 2.0, 0.44, 0.82, 0.56, 0.04, 0.0, 0.02, 0.125, 2.0, 0.4775, 0.5, 0.38, 0.7895, 2.0, 0.4186, -0.1613, 11.8, 1.351, 1.0, 0.8238, 0.0025, 0.0, 0.01768, 0.304, 0.304, 0.304, 8.0, 8.0, 0.5764, 0.5764, 0.125, 0.125, 1.853, 1.853, 0.0, 5.0, 10.0, 10.0, 120.0, 60.0, 2.0, 0.1528, 0.1204, 1.269, 0.2731, 0.02498, 0.0, 0.3, 150.0, 150.0, 0.0, 13.65, 3.663, 2.014, 0.2716, 0.2716, 0.4753, 0.4753, 0.05, 0.8, 0.19, 0.1675, 0.3, 1.0, 13.0, 13.0, 150.0, 43.0, 3.488, 0.1191, 0.09386, 1.269, 0.213, 0.02166, 0.0, 0.3077
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_572.mid",14.0, 6.0, 4.0, 2.0, 29.0, 0.0, 0.3, 0.7, 4.0, 2.0, 78.0, 4.4, 72.0, 5.0, 0.12, 0.26, 1.0, 0.9231, 5.0, 5.0, 7.758, 3.687, 4.582, -0.263, -0.4882, -1.1, 5.474, 4.983, 4.809, 0.0, 70.0, 10.0, 67.0, 7.0, 1.0, 3.082, 4.0, 1.0, 0.2449, 1.0, 0.2653, 0.0, 0.2449, 0.4898, 0.2449, 0.2449, 0.0, 0.02041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5102, 8.167, 24.83, 8.667, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 4.0, 4.0, 0.1557, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.167E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.1106, 0.1082, 1.022, 0.2188, 0.02427, 0.0, 0.3, 175.0, 175.0, 6.709E-12, 4.286, 11.67, 0.0, 0.08429, 0.08429, 2.804E-17, 2.804E-17, 0.08571, 0.08571, 0.08571, 1.402E-17, 1.0, 0.0, 14.0, 14.0, 175.0, 140.0, 1.25, 0.08318, 0.08137, 1.022, 0.1646, 0.0203, 0.0, 0.07143
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_573.mid",17.0, 8.0, 2.0, 1.0, 26.0, 0.0, 0.46, 0.54, 4.0, 2.0, 74.0, 5.62, 77.0, 5.0, 0.12, 0.24, 0.8333, 0.6667, 12.0, 2.0, 7.052, 2.906, 3.791, -0.4169, -0.3923, -1.25, 5.401, 5.97, 5.956, 0.0, 68.0, 8.0, 72.0, 0.0, 4.0, 3.02, 4.0, 1.0, 0.2653, 0.9231, 0.3061, 0.02041, 0.2245, 0.449, 0.2857, 0.2449, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07692, 0.0, 0.5208, 8.0, 23.5, 8.129, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 4.0, 4.0, 0.1557, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.25, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 50.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.167E-7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 160.0, 120.0, 1.333, 0.1106, 0.1082, 1.022, 0.2188, 0.02427, 0.0, 0.3, 175.0, 175.0, 6.709E-12, 4.286, 11.67, 0.0, 0.08429, 0.08429, 2.804E-17, 2.804E-17, 0.08571, 0.08571, 0.08571, 1.402E-17, 1.0, 0.0, 14.0, 14.0, 175.0, 140.0, 1.25, 0.08318, 0.08137, 1.022, 0.1646, 0.0203, 0.0, 0.07143
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_574.mid",9.0, 8.0, 5.0, 1.0, 39.0, 0.62, 0.0, 0.38, 4.0, 3.0, 56.0, 6.64, 45.0, 9.0, 0.42, 0.44, 0.3333, 0.3182, 2.0, 2.0, 15.56, 2.884, 3.081, 2.275, -0.3745, 0.74, 4.64, 5.765, 8.023, 0.0, 43.0, 7.0, 77.0, 5.0, 0.0, 2.041, 3.0, 3.0, 0.4898, 0.4167, 0.7143, 0.4898, 0.04082, 0.2245, 0.2245, 0.02041, 0.0, 0.0, 0.02041, 0.0, 0.0, 0.02041, 10.0, 0.0, 0.56, 1.25, 4.85, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 4.124, 4.124, 0.4318, 6.0, 4.0, 2.0, 0.94, 0.98, 0.06, 0.02, 0.0, 0.0, 0.125, 2.0, 0.2375, 0.25, 0.48, 0.9583, 1.0, 0.2687, -0.1395, 45.92, 3.125, 2.0, 2.094, 0.004417, 0.0, 0.03123, 0.002405, 0.002405, 0.002405, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0, 20.0, 160.0, 120.0, 1.333, 0.08786, 0.08269, 1.062, 0.1705, 0.0177, 0.0, 0.2, 75.0, 75.0, 0.0, 9.7, 5.155, 1.373, 0.1926, 0.1926, 0.2441, 0.2441, 0.1, 1.777, 0.1935, 0.2388, 0.46, 4.0, 13.0, 13.0, 149.0, 100.0, 1.49, 0.1241, 0.1206, 1.029, 0.2447, 0.02261, 0.0, 0.07692
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_575.mid",12.0, 8.0, 5.0, 1.0, 41.0, 0.16, 0.1, 0.74, 5.0, 3.0, 71.0, 4.96, 79.0, 7.0, 0.24, 0.28, 0.5833, 0.5, 5.0, 5.0, 12.54, 3.168, 4.158, -0.8516, -0.03787, 1.616, 7.309, 5.141, 5.066, 0.0, 74.0, 2.0, 45.0, 9.0, 3.0, 3.612, 5.0, 3.0, 0.2245, 0.9091, 0.5714, 0.2041, 0.1224, 0.2449, 0.3061, 0.1224, 0.0, 0.06122, 0.02041, 0.0, 0.0, 0.04082, 2.75, 0.0, 0.4615, 1.393, 6.25, 2.139, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 4.938, 4.938, 0.2014, 6.0, 3.0, 2.0, 0.98, 0.98, 0.02, 0.02, 0.0, 0.0, 0.125, 2.0, 0.1975, 0.125, 0.7, 1.0, 0.0, 0.2662, 0.8171, 51.71, 6.25, 4.0, 6.159, 5.0E-4, 0.0, 0.003536, 0.02716, 0.02716, 0.02716, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 20.0, 20.0, 160.0, 120.0, 1.333, 0.08186, 0.0708, 1.156, 0.1527, 0.01707, 0.0, 0.2, 75.0, 75.0, 0.0, 8.1, 6.173, 1.662, 0.1599, 0.1599, 0.2148, 0.2148, 0.1, 1.58, 0.1576, 0.2102, 0.7, 2.0, 13.0, 13.0, 149.0, 100.0, 1.49, 0.1099, 0.1042, 1.054, 0.2141, 0.02154, 0.0, 0.07692
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_576.mid",19.0, 11.0, 3.0, 1.0, 53.0, 0.4, 0.06, 0.54, 2.0, 3.0, 60.0, 5.06, 31.0, 7.0, 0.2, 0.38, 0.6, 0.3684, 45.0, 3.0, 20.72, 2.63, 3.564, -1.99, 0.06845, 1.263, 4.671, 5.864, 6.45, 0.0, 41.0, 5.0, 77.0, 5.0, 1.0, 10.57, 3.0, 1.0, 0.2449, 0.8333, 0.3673, 0.2041, 0.2449, 0.3469, 0.04082, 0.06122, 0.0, 0.08163, 0.0, 0.02041, 0.02041, 0.2245, 0.0, 0.04, 0.6667, 2.294, 30.24, 4.462, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.5455, 0.5455, 0.3313, 9.0, 8.0, 3.0, 0.42, 0.44, 0.3, 0.3, 0.02, 0.2, 0.25, 8.0, 1.535, 0.25, 0.42, 0.5238, 7.0, 1.78, 1.323, 8.304, 1.786, 1.0, 1.729, 0.106, 0.08333, 0.147, 0.1805, 0.1805, 0.1805, 2.167, 2.167, 0.5655, 0.5655, 0.4167, 0.4167, 0.5114, 0.5114, 0.0, 3.0, 12.0, 8.0, 120.0, 178.0, 1.483, 0.1928, 0.1687, 1.143, 0.3614, 0.02581, 0.0, 0.375, 160.0, 160.0, 0.0, 34.38, 1.455, 0.3379, 0.6908, 0.6908, 0.6611, 0.6611, 0.09375, 2.625, 0.5634, 0.6137, 0.18, 3.0, 14.0, 10.0, 40.0, 159.0, 3.975, 0.1667, 0.1667, 1.0, 0.3333, 0.02388, 0.0, 0.4
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_577.mid",15.0, 10.0, 3.0, 1.0, 50.0, 0.42, 0.06, 0.52, 2.0, 3.0, 58.0, 5.1, 31.0, 7.0, 0.24, 0.4, 0.6667, 0.4, 45.0, 3.0, 20.82, 2.225, 3.672, -2.216, 0.1349, 1.454, 4.573, 5.834, 6.067, 0.0, 79.0, 7.0, 78.0, 6.0, 1.0, 13.24, 3.0, 1.0, 0.2449, 0.8333, 0.3469, 0.2041, 0.2449, 0.3061, 0.02041, 0.06122, 0.0, 0.08163, 0.0, 0.02041, 0.02041, 0.2857, 0.0, 0.04, 0.6154, 1.857, 29.14, 4.871, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.553, 0.553, 0.2458, 9.0, 8.0, 3.0, 0.36, 0.4, 0.36, 0.28, 0.02, 0.28, 0.25, 8.0, 1.545, 0.25, 0.36, 0.6111, 2.0, 1.765, 1.351, 8.424, 1.724, 1.0, 1.306, 0.1077, 0.08333, 0.1413, 0.172, 0.172, 0.172, 2.167, 2.167, 0.4892, 0.4892, 0.1667, 0.1667, 0.4747, 0.4747, 0.0, 3.0, 13.0, 5.0, 120.0, 178.0, 1.483, 0.2206, 0.1765, 1.25, 0.3971, 0.02665, 0.0, 0.6, 160.0, 160.0, 0.0, 33.91, 1.475, 0.3023, 0.6869, 0.6869, 0.639, 0.639, 0.09375, 2.625, 0.5615, 0.6078, 0.12, 2.0, 17.0, 6.0, 40.0, 159.0, 3.975, 0.1905, 0.1786, 1.067, 0.369, 0.02433, 0.0, 0.5
