,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Tomb_Raider_1+2.mid",0.5862
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\GuardianLegend_Title.mid",0.2696
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\JILost_-_NES_-_Skate_or_Die_2_-_Title.mid",0.07083
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\sbb2-02.mid",0.1529
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dkltitle.mid",0.148
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Tnttitle.mid",0.3131
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mpaint-title.mid",0.1818
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bkgb_title_kio_7.mid",0.1248
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\rmtitle.mid",0.5376
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\wl-title.mid",0.2102
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bubtitle.mid",0.162
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ww2intro.mid",0.3117
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bt_promo_v1_1.mid",0.1972
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\title5648.mid",0.2995
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Tomb.mid",0.4881
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\slammast-title.mid",0.1756
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ki-main.mid",0.5354
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\kidnikiremix_title-screen.mid",0.1307
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\The_Amazing_Spider_Man_-_Theme.mid",0.3107
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\treasure_master_-_title_theme.mid",0.2184
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\tekken2.mid",0.125
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Anticipation.mid",0.1215
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Altered_Beast_title.mid",0.245
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\metintro.mid",0.1854
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\smas48.mid",0.3526
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SuperSoccerTitles.mid",0.06625
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Z2TitleScreenPunkRockRemixFixed.mid",0.3493
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_OmakeVGTitle.mid",0.2301
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\smwintro.mid",0.2453
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\rush2049.mid",0.1188
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\yc_title.mid",0.2465
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Pitfall_-_Title_Screen.mid",0.2972
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\smb2titleb.mid",0.07585
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\pesus_title_screen.mid",0.1778
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\t_ctint2.mid",0.1471
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mtcts.mid",0.6144
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\sor1.mid",0.7709
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Legend-Title.mid",0.297
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\DragonsFury_1.mid",0.1568
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\luf1them.mid",0.2712
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MDK_Title_Screen.mid",0.6333
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\tennisgbtitlescreen.mid",0.1968
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Astyanax2.mid",0.2106
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\deja1rm.mid",0.3394
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\XkyRauh_IceClimberTitleScreen.mid",0.1332
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ffl3begn.mid",0.4366
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\TalesofEternia_MainTitle.mid",0.6833
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Bio_Metal_Japanese_Ver-Introduction_pt2.mid",0.5428
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\TGTitle.mid",0.1057
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\YSTitle.mid",0.3278
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Pesus_Title_Screen_(Swing_Remix).mid",0.2413
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\TheLegendRemixed.mid",0.2603
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\vectorm.mid",0.1253
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Crash_Team_Racing_Intro_and_Main_Menu_DW.mid",0.163
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SBTitleScreen.mid",0.1782
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mm3title.mid",0.3187
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MKTITLE.mid",0.2772
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bt_theme_cuckoo.mid",0.1575
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\skyshark_title.mid",0.08571
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\F-Zero_X_-_Title_BGM.mid",0.2682
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\AdventuresofArle_TitleTheme.mid",0.4493
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mystitle.mid",0.4059
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_RockMan3_IntroTheme_Arranged.mid",0.1879
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SectionZ-Introduction_Rock_MixV2.mid",0.26
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_Sf2Titlescreen.mid",0.2416
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Gargoyle's_Quest_Title_Theme.mid",0.485
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Yoshis_Lullaby.mid",0.2329
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mkii_zb_title_gb.mid",0.1244
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MW3-Title.mid",0.1717
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MysticD-Title.mid",0.1071
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\St-Seiya.mid",0.2634
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Yoshi_s_Island_SSBB_Remix.mid",0.2047
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ChuckRock-Title.mid",0.152
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SailorMoonSSF_int.mid",0.3135
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ProAmAcc.mid",0.06406
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\01-TitleScreen.mid",0.5123
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\clemens.mid",0.2244
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\UK_-_Title.mid",0.2001
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\PdP-Title.mid",0.1766
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\sohtitle.mid",0.1759
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\somtheme.mid",0.1973
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Adventure_Island_II-Title_Screen.mid",0.2187
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\XkySmash01.mid",0.1054
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Plktitle.mid",0.1784
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\G_BioMetal_Intro.mid",0.235
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\wbtitle.mid",0.1134
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SpidermanTitle1.mid",0.5262
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\the_powerpuff_girls.mid",0.386
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\xgsomt.mid",0.388
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bohtitl1.mid",0.1728
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\title (2).mid",1.474
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Centurion_Defender_Of_Rome-v2.mid",0.6264
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Superstar_Title_Intro.mid",0.1094
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\doubledragon.mid",0.2595
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\GBtitle2.mid",0.4793
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ayasesen.mid",0.6522
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\DV_-_Title_Screen.mid",0.4342
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\runtitle.mid",0.1995
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\super_godzilla_-_title_screen.mid",0.4274
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ALEXKIDD.mid",0.1586
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ProAmElec.mid",0.1363
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Hebereke-Title.mid",0.263
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\bombermantitle.mid",0.103
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\BL_sbm5_titlescreen.mid",0.07561
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MPAirdeMarioParty.mid",0.2076
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\DreamTVTitle.mid",0.1425
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\CotS-Title-PS-PC.mid",0.2874
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ffl2main.mid",0.5372
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\NBAJamRK3Kv2.mid",0.43
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Sf2th.mid",0.1053
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dmario2.mid",0.2474
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MGSvr_title.mid",0.8166
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\kiexpand.mid",0.159
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Wizardry_II_Opening_Theme.mid",0.3336
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ZeldaIntro.mid",0.514
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Monopoly.mid",0.28
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\znation.mid",0.2047
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\RCProAMTheme-Xguitar.mid",0.142
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Silhouette_Mirage_-_Title_DW.mid",0.3113
